ID,bkg_numax,bkg_envWidth,bkg_envHeight,H1_power,H1_nu,H1_exp,H2_power,H2_nu,H2_exp
KIC8587058,1.4651840436924035,0.6970024834645372,3.987541555822396,5.188890384223254,1.5068103391155567,4.037788392196319,5.415636655913581,1.0222473325529386,3.897087268438365
KIC8587329,1.82372295567696,0.9993746072045888,3.1282877033364813,4.869743734597392,1.8175548110073825,4.462042446992058,5.027592112322258,1.2536443439945009,3.67447885127555
KIC8587948,1.905009191198901,1.1262904607591666,2.5950283754732406,4.313499249152036,1.8963984429859868,3.8430529653054504,4.564048997938822,1.3561807216027342,3.613215309243998
KIC8590577,1.798117164544045,0.9904546740571102,2.869678882785565,4.529202047259296,1.7721891284159317,4.056335496821865,4.899089496714657,1.2467540913452655,2.9684034724718456
KIC8590920,1.886858995678884,0.9970699697293592,3.141563315797601,4.783887314113713,1.8934684991358288,4.606436002852072,4.901528090764563,1.3332476658378671,4.0771657501526155
KIC8590931,1.7989595739513544,0.961942170293926,2.790397437601437,4.455905107933797,1.8253873333525552,4.319619125762319,4.751948936100714,1.231827919684729,3.2314649504722164
KIC8591738,1.492214175906883,0.8046370761927941,3.9087929571900433,5.152688704226679,1.572288835280334,4.485259089157016,5.479507371902063,1.0289706105047558,4.251744836571926
KIC8604489,1.5528114628403402,0.6756946803521064,3.525729833879265,4.948064460096223,1.513869267594169,3.72743430902865,4.9918073328576735,1.0361554302240872,4.432055320558971
KIC8605197,2.04482622366704,1.04734571643844,2.903096628513957,4.660935282516202,2.0405927340169288,4.903611129594498,4.78486861644387,1.500633632772194,4.045938413953741
KIC8607365,1.9283938521768411,1.0735254836936647,2.8974476321977645,4.508796896030538,1.9288687895412893,4.375990393237622,4.82698629634545,1.3521230545489331,3.0763352029595987
KIC8607372,2.3137891958922805,1.199682784955603,2.1431767533821016,4.198325967303872,2.334028837447356,4.0319634835720795,4.212163126666779,1.736580313441772,4.023055941859014
KIC8607581,1.5580233127249623,0.7603075506401101,3.570065222932773,5.0226027577715096,1.5602571489237365,3.9892088392131253,5.113540957143859,1.0609597866105351,4.12657521835052
KIC8607620,1.4746517315913774,0.6647811520948517,3.855681268961257,5.239334457884013,1.4866969451463157,4.045566379770266,5.291759942698612,0.9330974244246908,4.037994503080626
KIC8607686,1.5163780142929857,0.7020417286851488,3.840887679610005,5.104419941854523,1.5838112803915971,4.404866559506893,5.336113185042125,1.0298128868126213,4.581515059958099
KIC8607720,2.2078420913676573,1.2048230878178374,1.9557508370172785,4.127055401676002,2.2499636241499865,4.190686133032718,4.394710751985773,1.6049549185911682,2.786460810242461
KIC8608750,1.7146446764984296,0.7473163534581155,3.5586157830001106,4.977848927436199,1.733932403946848,4.780206666313899,5.06843485680934,1.1725022004894174,4.274493341143253
KIC8609926,1.504260971370166,0.7072724386486919,3.8973523105649823,5.199211992544631,1.5339191606222222,4.3361484687040575,5.277772413517934,0.9737952936262748,3.8373303294175822
KIC8610204,1.5361585524562356,0.7227629056605894,3.739042631218325,5.042047621524,1.5605936314194455,4.042917246926557,5.207773783468877,1.0338467234950222,4.034638963063508
KIC8610391,1.5732609724716076,0.7566856165066429,3.769478904866416,5.132918874536974,1.5916241053318374,4.4664820633361355,5.342962854550263,1.04122680319206,3.560509320887538
KIC8611078,1.7742791803290547,0.8974061373359371,3.13559567253849,4.461447259896412,1.8460629446476808,4.777385918807495,4.648349955513448,1.2745190905570514,4.058051498791928
KIC8611114,1.5233027323740214,0.7366972849405601,3.765574093764612,5.150042291155754,1.5348722016578358,4.107425807660165,5.190348109684712,1.0276761157378729,3.7668820258201303
KIC8611369,1.3993135310255609,0.618927440911245,4.049873923370343,5.288503259354923,1.4350250089988292,4.03127233529443,5.457976646474879,0.9606853165681322,3.9160628065744074
KIC8611394,2.0275000784564456,1.0177716047574532,2.8646314526939047,4.56047609251988,2.0429693828058646,4.918063541229712,4.660437530643064,1.4475620830697724,3.848676482431215
KIC8611731,1.385836595724908,0.5865182129179825,3.9506638679254182,5.327391184325115,1.4138654755416895,4.11713531411835,5.216861962305043,0.9342507390056825,4.011389716582722
KIC8611833,1.5781639645365757,0.8696916630493281,3.509697425202317,4.871275817323308,1.6103019044904745,3.9163632551769583,5.111567451316718,1.086700913516235,4.354925541614607
KIC8611911,1.626387942080466,0.6791344845994424,3.8231800184208793,4.973052893746242,1.6550514946013637,4.314965941520721,5.150363655506121,1.0813254399309686,4.150354752627002
KIC8612203,1.4637961143546092,0.7092164818439594,3.699625220256857,5.200439206036453,1.473432595428777,3.9851737122965902,5.230257500592981,0.9846281330977218,3.5493460842516638
KIC8612241,1.904539540143692,1.042153344629752,2.677498746775894,4.420774929482042,1.915882914166032,4.311474400825412,4.702672058491267,1.339481456285761,3.1758042126497172
KIC8612361,1.7450279319574538,0.8091081565224381,3.377083119326795,4.874102014271059,1.7452424212408086,4.333707622699181,4.97439522272964,1.193412637453294,4.146247316496453
KIC8612388,1.5378988332203538,0.7672801810815639,3.7594633045782513,4.929768682500129,1.5783442128309382,3.9219676189847736,5.240984361607058,1.0579221741844511,3.5781306637344357
KIC8612393,1.6819429150968783,0.7544650227970022,3.542903617231113,4.947893422276564,1.702847125881334,4.803409792488241,5.068674284064105,1.1412399774958313,3.900076551515075
KIC8612480,1.9722504154652227,1.0108628633289265,3.014512516488677,4.6963299544308725,1.9903822207811437,4.855521510460729,4.855091354243035,1.4051730729736804,3.6008778005681314
KIC8612481,1.7766327883848931,0.9098751290346192,3.38685486693438,4.947490822760497,1.799783398907265,4.841421248316813,5.119239852926291,1.2007600149414062,3.709414108407977
KIC8612490,1.5073674387713485,0.7244556171694266,3.835496347786538,5.222449328148419,1.5049345788521122,4.05619948082146,5.327870911829121,0.9856630921263494,3.605904957877144
KIC8612520,1.6275052510218886,0.7964294365980631,3.398335141879337,4.861307123889841,1.630291633977592,4.211271120276913,5.0347629700028325,1.0666757504528346,3.6792470060603786
KIC8612585,1.4595329562834976,0.6311486168522971,4.076226187331417,5.274341695988904,1.4708618880033646,4.255093753110528,5.44817866072439,0.9502076761806212,4.263972867755762
KIC8612609,2.2749446635382458,1.2834885349943403,1.8246828528550367,3.91601896328538,2.250835660028628,3.952987234163223,4.321887699882482,1.684333734828346,2.692482723357871
KIC8612811,1.5131384679238045,0.7218721725664141,3.880496625480284,5.077197083315086,1.5677661533309235,4.257685551565379,5.302747205047278,1.0445064157736597,3.7690663360907433
KIC8616844,1.55193264915179,0.7518364176804921,3.716526057821818,5.065108305446382,1.554602524174744,4.084772996561603,5.227004299201409,1.0324686994837171,3.584882736427401
KIC8617035,1.5262921413027084,0.7944475122724177,3.768534928505264,5.140949650608553,1.5424170549013017,4.070586175598401,5.290457465158228,1.025985773480177,4.107120809551107
KIC8617169,2.021909420209122,1.1581812776102387,2.3475251484478235,4.323996065705406,2.043862003657648,4.74844495584587,4.503067793648132,1.4695801302577718,3.8095049288811054
KIC8617244,1.478766889114618,0.6848848508072327,3.817602071762888,4.968253285948608,1.505731365900188,3.856463853365701,5.270747934369237,0.9746645135629032,3.7692219332456434
KIC8617401,1.474705523406786,0.6766491053082775,4.000982996178706,5.332005247775661,1.4752006950921293,4.06637443454193,5.402767952503636,0.9473774732480764,3.8177897644445
KIC8617431,2.236580426522498,1.1455288969895343,2.487035303146737,4.4250937219688105,2.231384848672978,3.263864023300586,4.360991024944648,1.6526883127223244,3.9396915007085944
KIC8617711,1.585623017875426,0.6924898097068688,3.617286432798145,5.040577037775234,1.593537655086458,4.311704673320872,5.141413791807507,1.06204517467287,3.9419684829014927
KIC8617959,1.4684114647734794,0.6829609281476545,3.85184814103195,5.291032103022549,1.446215621702578,3.871992759583098,5.336199681226401,0.9225482940644822,3.6461920243224024
KIC8618510,1.5160967372212657,0.6615614095385434,3.910260839247648,5.269323249623744,1.5226126329383582,4.274043231741823,5.3145618019316,0.9541823891913296,3.779591962886335
KIC8618560,1.793687598817608,0.8805156462134859,3.258522348629662,4.808071376579261,1.8002280147210954,4.395028808401454,4.899619192816115,1.273191859276804,4.352758971465731
KIC8618653,1.6662162744100462,0.8635628148330454,3.402656384286965,4.978751674960053,1.659801134930071,4.258113497376439,4.985998137504456,1.0935441962187027,3.7638560176073623
